id,title,year,bases,problem,attack,methods,modeling,,
21,ROGUE TWIN ATTACK DETECTION: A DISCRETE EVENT SYSTEM PARADIGM APPROACH,2019,Engineering Village-IEEExplore-Scopus-Web of Science,-,-,-,-,,
22,AN APPROACH BASED ON BEHAVIORAL MODELS AND CRITICAL STATES DISTANCE NOTION FOR IMPROVING CYBERSECURITY OF INDUSTRIAL CONTROL SYSTEMS,2019,Engineering Village-Scopus-Science Direct-Web of Science,-,-,-,-,,
23,DE-AUTHENTICATION ATTACK DETECTION USING DISCRETE EVENT SYSTEMS IN 802.11 WI-FI NETWORKS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,-,-,-,-,,
24,EVIL TWIN ATTACK DETECTION USING DISCRETE EVENT SYSTEMS IN IEEE 802.11 WI-FI NETWORKS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,-,-,-,-,,
25,SYNTHESIS OF COVERT ACTUATOR ATTACKERS FOR FREE,2019,Engineering Village-Scopus-Web of Science,attack model,actuator,sct,deterministic finite-state automata,,
26,MODELING OF CYBER ATTACKS AND A TIME GUARD DETECTION FOR ICS BASED ON DISCRETE EVENT SYSTEMS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor-actuator,timed automaton,signal interpreted Petri nets,,
27,SENSOR AND ACTUATOR ATTACKS OF CYBER-PHYSICAL SYSTEMS: A STUDY BASED ON SUPERVISORY CONTROL OF DISCRETE EVENT SYSTEMS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,sct,deterministic finite-state automata,,
28,OPACITY OF NETWORKED SUPERVISORY CONTROL SYSTEMS OVER INSECURE MULTIPLE CHANNEL NETWORKS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,secrecy,passive,opacity verification,deterministic finite-state automata,,
29,MITIGATION OF CLASSES OF ATTACKS USING A PROBABILISTIC DISCRETE EVENT SYSTEM FRAMEWORK,2020,Engineering Village-Scopus-Web of Science,attack detection and mitigation,sensor,Markov decision processes (MDPs),probabilistic finite state automata,,
30,ARSPAN: ATTACKER REVELATION SCHEME USING DISCRETE EVENT SYSTEM IN 6LOWPAN BASED BUFFER RESERVATION ATTACK,2020,Engineering Village-IEEExplore-Scopus,-,-,-,-,,
31,OPACITY OF DISCRETE EVENT SYSTEMS WITH ACTIVE INTRUDER,2020,Engineering Village,secrecy,sensor-actuator,reactive current state opacity,non-deterministic finite-state transducer,,
32,CONFIDENTIALITY OF CYBER-PHYSICAL SYSTEMS USING EVENT-BASED CRYPTOGRAPHY,2020,Engineering Village-Scopus-Science Direct-Web of Science,secrecy,passive,Event based cryptography,deterministic finite-state automata,,
33,INITIAL-STATE ESTIMATION OF MULTI-CHANNEL NETWORKED DISCRETE EVENT SYSTEMS,2020,Engineering Village-IEEExplore-Scopus-Web of Science,-,-,-,-,,
34,IFAC-PAPERSONLINE,2020,Engineering Village,-,-,-,-,,
35,ENFORCING OPACITY IN MODULAR SYSTEMS,2020,Engineering Village-Scopus-Science Direct-Web of Science,secrecy,passive,opacity verification,Labelled Transitions Systems (LTS),,
36,ANALYSIS AND CONTROL FOR RESILIENCE OF DISCRETE EVENT SYSTEMS,2021,Engineering Village-Web of Science,-,-,-,-,,
37,USABILITY AWARE SECRET PROTECTION WITH MINIMUM COST,2021,Engineering Village-Scopus-Science Direct-Web of Science,secrecy,passive,Sct-usability aware cost levels,deterministic finite-state automata,,
38,SYNTHESIS OF COVERT SENSOR ATTACKS IN NETWORKED DISCRETE-EVENT SYSTEMS WITH NON-FIFO CHANNELS,2021,Engineering Village,attack model,sensor,sct,deterministic finite-state automata,,
39,DAISS: DESIGN OF AN ATTACKER IDENTIFICATION SCHEME IN COAP REQUEST/RESPONSE SPOOFING,2021,Engineering Village-IEEExplore-Scopus-Web of Science,-,-,-,-,,
40,OPACITY OF NETWORKED SUPERVISORY CONTROL SYSTEMS OVER INSECURE COMMUNICATION CHANNELS,2021,Engineering Village-IEEExplore-Scopus-Web of Science,secrecy,passive,current-state opacity-K step opacity-infinite-step opacity,deterministic finite-state automata,,
41,NONINTERFERENCE ENFORCEMENT VIA SUPERVISORY CONTROL IN BOUNDED PETRI NETS,2021,Engineering Village-IEEExplore-Scopus-Web of Science,secrecy,passive,Strong Nondeterministic Noninterference ,petri nets,,
42,SYNTHESIS OF RESILIENT THIRD-PARTY MONITORING SYSTEM AGAINST CYBERATTACKS VIA SUPERVISORY CONTROL,2021,Engineering Village-IEEExplore-Scopus-Web of Science,attack detection and mitigation,denail of service,timed des,deterministic finite-state automata,,
43,ERROR- AND TAMPER-TOLERANT DECENTRALIZED DIAGNOSABILITY OF DISCRETE EVENT SYSTEMS UNDER COST CONSTRAINTS,2021,Engineering Village-IEEExplore-Scopus-Web of Science,diagnosabilty,sensor,recursive state estimation ,non-deterministic finite-state automata,,
44,A POLYNOMIAL APPROACH TO VERIFYING THE EXISTENCE OF A THREATENING SENSOR ATTACKER*,2022,Engineering Village-Scopus,attack detection and mitigation,sensor,All Sensor Attack Automaton,deterministic finite-state automata,,
45,DESIGN OF PRIVACY-PRESERVING CONTROL STRATEGY FOR DATA OPACITY OF INDUSTRIAL INTERNET,2022,Engineering Village,-,-,-,-,,
46,A STATE SPACE APPROACH TO DECENTRALIZED FAULT SE-COPROGNOSABILITY OF PARTIALLY OBSERVED DISCRETE EVENT SYSTEMS,2022,Engineering Village-Scopus,-,-,-,-,,
47,SYNTHESIS OF OPTIMAL MULTIOBJECTIVE ATTACK STRATEGIES FOR CONTROLLED SYSTEMS MODELED BY PROBABILISTIC AUTOMATA,2022,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor,Markov decision processes (MDPs),probabilistic finite state automata,,
48,SYMBOLIC VERIFICATION OF CURRENT-STATE OPACITY OF DISCRETE EVENT SYSTEMS USING PETRI NETS,2022,Engineering Village-IEEExplore-Scopus-Web of Science,secrecy,passive,Multi valued decision diagrams (MDDs) – Current-State Opacity verification,petri nets,,
49,VERIFICATION OF K-STEP AND INFINITE-STEP OPACITY OF BOUNDED LABELED PETRI NETS,2022,Engineering Village-Scopus-Science Direct-Web of Science,secrecy,passive,verification of K step and infinite step opacity,petri nets,,
50,ACTIVE OPACITY OF DISCRETE-EVENT SYSTEMS,2022,Engineering Village-Scopus-Web of Science,-,-,-,-,,SEM ACESSO
51,SECURE RECOVERY PROCEDURE FOR MANUFACTURING SYSTEMS USING SYNCHRONIZING AUTOMATA AND SUPERVISORY CONTROL THEORY,2022,Engineering Village-IEEExplore-Scopus-Web of Science,system recovery,sensor-actuator,Synchronizing Automata-sct,deterministic finite-state automata,,
52,DESIGN OF PETRI NET OBJECTS AND THEIR APPLICATION IN COMMAND AND CONTROL SYSTEMS,1995,IEEExplore-Scopus,-,-,-,-,,
53,EVENT CORRELATION,2001,IEEExplore,-,-,-,-,,
54,A SYNOPSIS OF PETRI NET CLASSES FOR MANUFACTURING AUTOMATION,2002,IEEExplore,-,-,-,-,,
55,CIRCADIA DEMONSTRATION: ACTIVE ADAPTIVE DEFENSE,2003,IEEExplore,-,-,-,-,,
56,NETWORK SECURITY MODEL FOR ANALYZING NETWORK-BASED CONTROL SYSTEMS UNDER DENIAL OF SERVICE ATTACKS,2004,IEEExplore,-,-,-,-,,
57,INTRUSION DETECTION IN CONTROLLED DISCRETE EVENT SYSTEMS,2006,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,deterministic finite-state automata,,
58,TOWARDS INCORPORATING DISCRETE-EVENT SYSTEMS IN SECURE SOFTWARE DEVELOPMENT,2008,IEEExplore-Scopus-Web of Science,-,-,-,-,,
59,OPACITY ENFORCING CONTROL SYNTHESIS,2008,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity enforcement-sct,Labelled Transitions Systems (LTS),,
60,VERIFICATION OF INITIAL-STATE OPACITY IN SECURITY APPLICATIONS OF DES,2008,IEEExplore-Scopus-Web of Science,secrecy,passive,initial state opacity verification,deterministic finite-state automata,,
61,OPACITY-ENFORCING SUPERVISORY STRATEGIES FOR SECURE DISCRETE EVENT SYSTEMS,2008,IEEExplore-Scopus-Web of Science,secrecy,passive,initial state opacity enforcement,non-deterministic finite-state automata,,
62,GIG NETWORK AND APPLICATION SYSTEM PERFORMANCE ANALYSIS USING EXTREME VALUE THEORY,2008,IEEExplore,-,-,-,-,,
63,A MODEL FOR REAL-TIME SIMULATION OF LARGE-SCALE NETWORKS BASED ON NETWORK PROCESSOR,2009,IEEExplore,-,-,-,-,,
64,VERIFICATION OF K-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY,2009,IEEExplore-Scopus-Web of Science,secrecy,passive,k step opacity verification,non-deterministic finite-state automata,,
65,MONITORING CONFIDENTIALITY BY DIAGNOSIS TECHNIQUES,2009,IEEExplore-Scopus,secrecy,passive,opacity verification-diagnosability-predictability,Labelled Transitions Systems (LTS),,
66,OPACITY VERIFICATION IN STOCHASTIC DISCRETE EVENT SYSTEMS,2010,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity verification-step based almost current-state opacity,probabilistic finite state automata,,
67,VERIFICATION OF $K$-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY (2011),2011,IEEExplore-Scopus-Web of Science,secrecy,passive,k step opacity verification,non-deterministic finite-state automata,,
68,DETECTING LOW-RATE PERIODIC EVENTS IN INTERNET TRAFFIC USING RENEWAL THEORY,2011,IEEExplore-Scopus-Web of Science,-,-,-,-,,
69,AN ACTIVE DES BASED IDS FOR ARP SPOOFING,2011,IEEExplore-Scopus-Web of Science,-,-,-,-,,
70,VERIFICATION OF INFINITE-STEP OPACITY AND COMPLEXITY CONSIDERATIONS,2012,IEEExplore-Scopus-Web of Science,secrecy,passive,infinite step opacity verification,non-deterministic finite-state automata,,
71,RESOLUTION OF INITIAL-STATE IN SECURITY APPLICATIONS OF DES,2012,IEEExplore-Scopus,secrecy,passive,initial state resolution-state estimation,non-deterministic finite-state automata,,
72,ENFORCEMENT OF OPACITY PROPERTIES USING INSERTION FUNCTIONS,2012,IEEExplore-Scopus-Web of Science,secrecy,passive,"opacity enforcement, insertion function",deterministic finite-state automata,,
73,INITIAL STATE OPACITY IN STOCHASTIC DES,2013,IEEExplore-Scopus,secrecy,passive,opacity verification-step based almost initial state opacity,probabilistic finite state automata,,
74,CURRENT-STATE OPACITY FORMULATIONS IN PROBABILISTIC FINITE AUTOMATA,2014,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity verification-probabilistic current state opacity,probabilistic finite state automata,,
75,OPACITY FORMULATIONS AND VERIFICATION IN DISCRETE EVENT SYSTEMS,2014,IEEExplore-Scopus-Web of Science,review,review,review,review,,
76,VERIFICATION OF CURRENT-STATE OPACITY USING PETRI NETS,2015,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of current state opacity,petri nets,,
77,VERIFICATION OF INITIAL-STATE OPACITY IN PETRI NETS,2015,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of initial state opacity,petri nets,,
78,MODELING AND VERIFICATION OF ONLINE SHOPPING BUSINESS PROCESSES BY CONSIDERING MALICIOUS BEHAVIOR PATTERNS,2016,IEEExplore,-,-,-,-,,
79,PROBABILISTIC SYSTEM OPACITY IN DISCRETE EVENT SYSTEMS,2016,IEEExplore-Scopus-Web of Science,secrecy,passive,Probabilistic system opacity,hidden Markov model (HMM),,
80,A RESILIENCY MEASURE FOR ELECTRICAL POWER SYSTEMS,2016,IEEExplore,-,-,-,-,,
81,ENFORCING OPACITY WITH ORWELLIAN OBSERVATION,2016,IEEExplore-Web of Science,secrecy,passive,Orwellian projections,Labelled Transitions Systems (LTS),,
82,PRESERVING OPACITY ON INTERVAL MARKOV CHAINS UNDER SIMULATION,2016,IEEExplore,-,-,-,-,,
83,QUANTIFICATION OF DISTRIBUTED SECRECY LOSS IN STOCHASTIC DISCRETE EVENT SYSTEMS UNDER BOUNDED-DELAY COMMUNICATIONS,2016,IEEExplore-Scopus-Web of Science,secrecy,passive,Jensen-Shannon Divergence (JSD),probabilistic finite state automata,,
84,ON TWO-WAY OBSERVER AND ITS APPLICATION TO THE VERIFICATION OF INFINITE-STEP AND K-STEP OPACITY,2016,IEEExplore-Scopus-Web of Science,secrecy,passive,Verification of Infinite Step and K Step Opacity,deterministic finite state automata,,
85,DETECTION AND PREVENTION OF ACTUATOR ENABLEMENT ATTACKS IN SUPERVISORY CONTROL SYSTEMS,2016,IEEExplore,attack detection and mitigation,actuator,sct,deterministic finite state automata,,
86,SUPERVISORY ENFORCEMENT OF CURRENT-STATE OPACITY WITH UNCOMPARABLE OBSERVATIONS,2016,IEEExplore-Scopus-Web of Science,secrecy,passive,sct,deterministic finite state automata,,
87,VERIFICATION OF LANGUAGE-BASED OPACITY IN PETRI NETS USING VERIFIER,2016,IEEExplore-Web of Science,secrecy,passive,Verification of Language Based Opacity,petri nets,,
88,CONSTRUCTION OF FALSE SEQUENCE ATTACK AGAINST PLC BASED POWER CONTROL SYSTEM,2016,IEEExplore,attack model,sensor,identification algorithm,Non-Deterministic Autonomous Automaton with Output (NDAAO),,
89,QUANTIFICATION OF SECRECY IN PARTIALLY OBSERVED STOCHASTIC DISCRETE EVENT SYSTEMS,2017,IEEExplore-Scopus-Web of Science,secrecy,passive,Jensen-Shannon Divergence (JSD),probabilistic finite state automata,,
90,VERIFICATION OF STATE-BASED OPACITY USING PETRI NETS,2017,IEEExplore-Scopus-Web of Science,secrecy,passive,Verification of state Based Opacity,petri nets,,
91,STEALTHY DECEPTION ATTACKS FOR CYBER-PHYSICAL SYSTEMS,2017,IEEExplore-Scopus-Web of Science,attack model,sensor,game theory-sct,deterministic finite state automata,,
92,INFINITE-STEP OPACITY OF STOCHASTIC DISCRETE-EVENT SYSTEMS,2017,IEEExplore-Scopus-Web of Science,secrecy,passive,Verification of Infinite Step Opacity,probabilistic finite state automata,,
93,NON-INTERFERENCE ASSESSMENT IN BOUNDED PETRI NETS VIA INTEGER LINEAR PROGRAMMING,2018,IEEExplore,secrecy,passive,strong non-deterministic non-interference (SNNI) and bisimulation SNNI (BSNNI),petri nets,,
94,DECENTRALIZED OPACITY ENFORCEMENT IN DISCRETE EVENT SYSTEMS USING SUPERVISORY CONTROL,2018,IEEExplore-Scopus-Web of Science,secrecy,passive,enforcement of current state opacity,deterministic finite state automata,,
95,STEALTHY ATTACKS FOR PARTIALLY-OBSERVED DISCRETE EVENT SYSTEMS,2018,IEEExplore-Scopus-Web of Science,attack model,sensor,sct,deterministic finite state automata,,
96,VERIFICATION OF OPACITY IN NETWORKED SUPERVISORY CONTROL SYSTEMS WITH INSECURE CONTROL CHANNELS,2018,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of decision and event based opacity,deterministic finite state automata,,
97,DPDA: A MOVING TARGET DEFENSE SYSTEM BASED ON DETECTION AND PREDICTION MECHANISM,2018,IEEExplore,-,-,-,-,,
98,OPACITY ENFORCEMENT USING NONDETERMINISTIC PUBLICLY KNOWN EDIT FUNCTIONS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,state based opacity enforcement,deterministic finite state automata,,
99,SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS UNDER ATTACKS: AN OVERVIEW AND OUTLOOK,2019,IEEExplore-Scopus-Web of Science,review,review,review,review,,
100,EXPOSURE TIME AS A MEASURE OF OPACITY IN TIMED DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of current state opacity,Stochastic Petri nets ,,
101,SUPERVISOR OBFUSCATION AGAINST ACTUATOR ENABLEMENT ATTACK,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,actuator,sct,deterministic finite state automata,,
102,SYNTHESIS OF SUPREMAL SUCCESSFUL NORMAL ACTUATOR ATTACKERS ON NORMAL SUPERVISORS,2019,IEEExplore-Scopus-Web of Science,attack model,actuator,sct,deterministic finite state automata,,
103,CONTROLLER ENCRYPTION FOR DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,homomorphic encryption,signal interpreted Petri nets,,
104,SYNTHESIS OF SENSOR DECEPTION ATTACKS FOR SYSTEMS MODELED AS PROBABILISTIC AUTOMATA,2019,IEEExplore-Scopus-Web of Science,attack model,sensor,stochastic graph games,probabilistic finite state automata,,
105,OPACITY OF FUZZY DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,Verification of Fuzzy Language and state based Opacity,deterministic finite state automata,,
106,REVELATION TIME FOR INITIAL-STATE OPACITY MEASUREMENT IN TIMED DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,initial state opacity ,Stochastic Petri nets ,,
107,AN OPACITY APPROACH FOR SECURITY EXPOSURE OF IOT COMPONENTS IN CRITICAL INFRASTRUCTURES,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,verification and enforcement of state based opacity,deterministic finite state automata,,
108,MULTIPLE ATTACKS DETECTION ON DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor,fault diagnosis theory,deterministic finite state automata,,
109,USER INTERACTION WITH A TECHNOLOGY EVOLUTION MODEL TO SELECT MOST VIABLE ENTERPRISE INFORMATION SYSTEMS,2019,IEEExplore-Scopus-Web of Science,-,-,-,-,,
110,TOWARDS BOUNDED SYNTHESIS OF RESILIENT SUPERVISORS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,reduction of Quantified Boolean Formula Problem,deterministic finite state automata,,
111,OPACITY OF NETWORKED DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of current state – initial state - initial final state and K step opacity,deterministic finite state automata,,
112,ATTACK-RESILIENT SUPERVISORY CONTROL WITH INTERMITTENTLY SECURE COMMUNICATION,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,Finite state transducers,deterministic finite state automata,,
113,CURRENT-STATE OPACITY VERIFICATION IN MODULAR DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,secrecy,passive,verification of current state opacity,deterministic finite state automata,,
114,SUPERVISORY CONTROL OF DISCRETE EVENT SYSTEMS IN THE PRESENCE OF SENSOR AND ACTUATOR ATTACKS,2019,IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor-actuator,Finite state transducers,deterministic finite state automata,,
115,TOWARDS RESILIENT SUPERVISORS AGAINST SENSOR DECEPTION ATTACKS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,sct,deterministic finite state automata,,
116,SYNTHESIS OF DYNAMIC MASKS FOR INFINITE-STEP OPACITY (2020),2020,IEEExplore-Scopus-Web of Science,secrecy,passive,infinite step opacity enforcement,deterministic finite state automata,,
117,OPACITY ENFORCEMENT FOR CONFIDENTIAL ROBUST CONTROL IN LINEAR CYBER-PHYSICAL SYSTEMS,2020,IEEExplore-Web of Science,-,-,-,-,,
118,COMPOSITIONAL AND ABSTRACTION-BASED APPROACH FOR SYNTHESIS OF EDIT FUNCTIONS FOR OPACITY ENFORCEMENT,2020,IEEExplore-Scopus-Web of Science,secrecy,passive,enforcement of state based opacity,non-deterministic finite-state automata,,
119,CO-DESIGN OF DUAL SECURITY CONTROL AND COMMUNICATION FOR NONLINEAR CPS UNDER DOS ATTACK,2020,IEEExplore,-,-,-,-,,
120,OVERVIEW OF OPACITY IN DISCRETE EVENT SYSTEMS,2020,IEEExplore-Scopus-Web of Science,review,review,review,review,,
121,PROCESS-AWARE MODEL-BASED INTRUSION DETECTION SYSTEM ON FILTERING APPROACH: FURTHER INVESTIGATIONS,2020,IEEExplore-Scopus-Web of Science,-,-,-,-,,
122,NOTE THAT EACH INFORMATION-SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS FOR INFINITE-STEP OPACITY,2020,IEEExplore-Scopus,secrecy,passive,infinite step opacity enforcement,deterministic finite state automata,,
123,HOMOMORPHIC ENCRYPTION OF SUPERVISORY CONTROL SYSTEMS USING AUTOMATA,2020,IEEExplore-Scopus-Web of Science,secrecy,passive,Homomorphic Encryption,deterministic finite state automata,,
124,KEYNOTE: PRIVACY AND SAFETY IN CYBER-PHYSICAL SYSTEMS,2020,IEEExplore,-,-,-,-,,
125,ON ATTACK MITIGATION IN SUPERVISORY CONTROL SYSTEMS: A TOLERANT CONTROL APPROACH,2020,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,deterministic finite state automata,,
126,ATTACKS ON DISTRIBUTED SEQUENTIAL CONTROL IN MANUFACTURING AUTOMATION,2021,IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,sct,deterministic finite state automata,,
127,OPACITY MEASURES OF FUZZY DISCRETE EVENT SYSTEMS,2021,IEEExplore-Scopus-Web of Science,secrecy,passive,general fuzzy opacity – final initial fuzzy opacity,deterministic finite state automata,,
128,ASSESSMENT OF BISIMULATION NON-INTERFERENCE IN DISCRETE EVENT SYSTEMS MODELLED WITH BOUNDED PETRI NETS,2021,IEEExplore-Scopus-Web of Science,secrecy,passive,strong non deterministic noninterference (SNNI),petri nets,,
129,EXPOSURE AND REVELATION TIMES AS A MEASURE OF OPACITY IN TIMED STOCHASTIC DISCRETE EVENT SYSTEMS,2021,IEEExplore-Scopus-Web of Science,secrecy,passive,opacity exposure - opacity revelation,Labeled stochastic Petri nets (LSPNs),,
130,SYNTHESIS OF SUPERVISORS ROBUST AGAINST SENSOR DECEPTION ATTACKS,2021,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,game theory-sct,deterministic finite state automata,,
131,MODELING AND CONTROL OF DISCRETE EVENT SYSTEMS UNDER JOINT SENSOR-ACTUATOR CYBER ATTACKS,2021,IEEExplore-Scopus,supervisor synthesis,sensor-actuator,state estimate based supervisors,deterministic finite state automata,,
132,COSTS ANALYSIS OF STEALTHY ATTACKS WITH BOUNDED OUTPUT SYNCHRONIZED PETRI NETS,2021,IEEExplore-Scopus,attack detection and mitigation,sensor-actuator,Labeled finite automaton with inputs,Output Synchronized Petri nets,,
133,OUTPUT-BASED EVENT-TRIGGERED CONTROL OF NONLINEAR SYSTEMS UNDER DECEPTION ATTACKS,2021,IEEExplore,-,-,-,-,,
134,OPACITY ENFORCING SUPERVISORY CONTROL USING NON-DETERMINISTIC SUPERVISORS (2021),2021,IEEExplore-Scopus,secrecy,passive,Non deterministic opacity enforcing supervisor,deterministic finite state automata,,
135,JOINT STATE ESTIMATION UNDER ATTACK OF DISCRETE EVENT SYSTEMS,2021,IEEExplore-Scopus-Web of Science,state estimation,sensor,joint estimator,deterministic finite state automata,,
136,HEURISTIC SYNTHESIS OF COVERT ATTACKERS AGAINST UNKNOWN SUPERVISORS,2021,IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,heuristic synthesis algorithm,deterministic finite state automata,,
137,LOCAL OPACITY VERIFICATION FOR DISTRIBUTED DISCRETE EVENT SYSTEMS,2021,IEEExplore-Scopus-Web of Science,secrecy,passive,Current state opacity and initial state opacity verification,deterministic finite state automata,,
138,FUZZY INFINITE-STEP OPACITY MEASURE OF DISCRETE EVENT SYSTEMS AND ITS APPLICATIONS,2022,IEEExplore-Scopus-Web of Science,secrecy,passive,fuzzy infinite-step opacity (FIO),deterministic finite state automata,,
139,A LIVENESS-ENFORCING SUPERVISOR TOLERANT TO SENSOR-READING MODIFICATION ATTACKS,2022,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,liveness enforcement,petri nets,,
140,SUPERVISORY CONTROL OF PETRI NETS IN THE PRESENCE OF REPLACEMENT ATTACKS,2022,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,Generalized Mutual Exclusion Constraints,petri nets,,
