id,title,year,bases,problem,attack,methods,modeling
15,MODELING OF CYBER ATTACKS AND A TIME GUARD DETECTION FOR ICS BASED ON DISCRETE EVENT SYSTEMS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor-actuator,timed automaton,signal interpreted Petri nets
16,MULTIPLE ATTACKS DETECTION ON DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor,fault diagnosis theory,finite-state automata
17,SECURITY AGAINST COMMUNICATION NETWORK ATTACKS OF CYBER-PHYSICAL SYSTEMS,2019,Scopus-Web of Science,attack detection and mitigation,sensor-actuator,sct,finite-state automata
18,SENSOR AND ACTUATOR ATTACKS OF CYBER-PHYSICAL SYSTEMS: A STUDY BASED ON SUPERVISORY CONTROL OF DISCRETE EVENT SYSTEMS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,sct,finite-state automata
19,SUPERVISOR OBFUSCATION AGAINST ACTUATOR ENABLEMENT ATTACK,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,actuator,sct,finite-state automata
20,SUPERVISORY CONTROL OF DISCRETE EVENT SYSTEMS IN THE PRESENCE OF SENSOR AND ACTUATOR ATTACKS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,Finite state transducers,finite-state transducer
21,SYNTHESIS OF COVERT ACTUATOR ATTACKERS FOR FREE,2019,Engineering Village-Scopus-Web of Science,attack model,actuator,sct,finite-state automata
22,SYNTHESIS OF SENSOR DECEPTION ATTACKS FOR SYSTEMS MODELED AS PROBABILISTIC AUTOMATA,2019,IEEExplore-Scopus-Web of Science,attack model,sensor,stochastic graph games,probabilistic finite-state automata
23,SYNTHESIS OF SUPREMAL SUCCESSFUL NORMAL ACTUATOR ATTACKERS ON NORMAL SUPERVISORS,2019,IEEExplore-Scopus-Web of Science,attack model,actuator,sct,finite-state automata
24,TOWARDS BOUNDED SYNTHESIS OF RESILIENT SUPERVISORS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,reduction of Quantified Boolean Formula Problem,finite-state automata
25,TOWARDS RESILIENT SUPERVISORS AGAINST SENSOR DECEPTION ATTACKS,2019,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,sct,finite-state automata
26,DETECTION AND PREVENTION OF CYBER-ATTACKS IN NETWORKED CONTROL SYSTEMS,2020,Scopus-Web of Science,attack detection and mitigation,actuator,AE-safe controllability,finite-state automata
27,DISCRETE CONTROL OF RESPONSE FOR CYBERSECURITY IN INDUSTRIAL CONTROL,2020,Scopus-Science Direct-Web of Science,attack detection and mitigation,denial of service,reconfiguration,Labeled Transition System (LTS)
28,MITIGATION OF CLASSES OF ATTACKS USING A PROBABILISTIC DISCRETE EVENT SYSTEM FRAMEWORK,2020,Engineering Village-Scopus-Web of Science,attack detection and mitigation,sensor,Markov decision processes (MDPs),probabilistic finite-state automata
29,MOVING TARGET DEFENSE BASED ON SWITCHED SUPERVISORY CONTROL: A NEW TECHNIQUE FOR MITIGATING SENSOR DECEPTION ATTACKS,2020,Scopus-Web of Science,attack detection and mitigation,sensor,moving target defense,finite-state automata
30,ON ATTACK MITIGATION IN SUPERVISORY CONTROL SYSTEMS: A TOLERANT CONTROL APPROACH,2020,IEEExplore-Scopus-Web of Science,attack detection and mitigation,actuator,sct,finite-state automata
31,STEALTHY SENSOR ATTACKS FOR PLANTS MODELED BY LABELED PETRI NETS,2020,Scopus-Web of Science,attack model,sensor,reachability graph,petri nets
32,SYNTHESIS OF COVERT ACTUATOR AND SENSOR ATTACKERS AS SUPERVISOR SYNTHESIS,2020,Scopus-Web of Science,attack model,sensor-actuator,sct,finite-state automata
33,SYNTHESIS OF SENSOR DECEPTION ATTACKS AT THE SUPERVISORY LAYER OF CYBER–PHYSICAL SYSTEMS,2020,Scopus-Science Direct,attack model,sensor,Nsertion Deletion Attack structure (IDA),finite-state automata
34,ATTACKS ON DISTRIBUTED SEQUENTIAL CONTROL IN MANUFACTURING AUTOMATION,2021,IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,sct,finite-state automata
35,COSTS ANALYSIS OF STEALTHY ATTACKS WITH BOUNDED OUTPUT SYNCHRONIZED PETRI NETS,2021,IEEExplore-Scopus,attack detection and mitigation,sensor-actuator,Labeled finite automaton with inputs,petri nets
36,CRITICAL OBSERVABILITY OF FINITE STATE MACHINES UNDER ATTACKS,2021,Web of Science,attack detection and mitigation,actuator,sct,finite-state automata
37,ERROR- AND TAMPER-TOLERANT DECENTRALIZED DIAGNOSABILITY OF DISCRETE EVENT SYSTEMS UNDER COST CONSTRAINTS,2021,Engineering Village-IEEExplore-Scopus-Web of Science,diagnosability,sensor,recursive state estimation ,finite-state automata
38,HEURISTIC SYNTHESIS OF COVERT ATTACKERS AGAINST UNKNOWN SUPERVISORS,2021,IEEExplore-Scopus-Web of Science,attack model,sensor-actuator,heuristic synthesis algorithm,finite-state automata
39,JOINT STATE ESTIMATION UNDER ATTACK OF DISCRETE EVENT SYSTEMS,2021,IEEExplore-Scopus-Web of Science,state estimation,sensor,joint estimator,finite-state automata
40,MODELING AND CONTROL OF DISCRETE EVENT SYSTEMS UNDER JOINT SENSOR-ACTUATOR CYBER ATTACKS,2021,IEEExplore-Scopus,supervisor synthesis,sensor-actuator,state estimate based supervisors,finite-state automata
41,PERFORMANCE SAFETY ENFORCEMENT IN STRONGLY CONNECTED TIMED EVENT GRAPHS,2021,Scopus-Science Direct-Web of Science,attack detection and mitigation,denial of service,mixed integer linear programming,petri nets
42,SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS UNDER EXTERNAL ATTACKS,2021,Scopus-Science Direct-Web of Science,supervisor synthesis,sensor-actuator,product observation reachability graph,petri nets
43,SYNTHESIS OF COVERT ACTUATOR AND SENSOR ATTACKERS,2021,Scopus-Science Direct-Web of Science,attack model,sensor-actuator,sct,finite-state automata
44,SYNTHESIS OF RESILIENT THIRD-PARTY MONITORING SYSTEM AGAINST CYBERATTACKS VIA SUPERVISORY CONTROL,2021,Engineering Village-IEEExplore-Scopus-Web of Science,attack detection and mitigation,denial of service,timed des,finite-state automata
45,SYNTHESIS OF SUPERVISORS ROBUST AGAINST SENSOR DECEPTION ATTACKS,2021,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,game theory-sct,finite-state automata
46,A LIVENESS-ENFORCING SUPERVISOR TOLERANT TO SENSOR-READING MODIFICATION ATTACKS,2022,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,liveness enforcement,petri nets
47,A POLYNOMIAL APPROACH TO VERIFYING THE EXISTENCE OF A THREATENING SENSOR ATTACKER,2022,IEEExplore-Web of Science,attack detection and mitigation,sensor,sct,finite-state automata
48,DISCRETE-EVENT SYSTEMS SUBJECT TO UNKNOWN SENSOR ATTACKS,2022,Scopus-Web of Science,attack detection and mitigation,sensor,P-observability test,finite-state automata
49,IDENTIFICATION OF SYSTEM VULNERABILITY UNDER A SMART SENSOR ATTACK VIA ATTACK MODEL REDUCTION,2022,IEEExplore,attack detection and mitigation,sensor,supervisor reduction,finite-state automata
50,OBSERVATION-ASSISTED HEURISTIC SYNTHESIS OF COVERT ATTACKERS AGAINST UNKNOWN SUPERVISORS,2022,Scopus-Web of Science,attack model,sensor-actuator,heuristic synthesis algorithm,finite-state automata
51,ON RESILIENT SUPERVISORY CONTROL AGAINST INDEFINITE ACTUATOR ATTACKS IN DISCRETE-EVENT SYSTEMS,2022,IEEExplore-Scopus-Web of Science,supervisor synthesis,actuator,resiliency automaton-sct,finite-state automata
52,ROBUST DECENTRALIZED DIAGNOSABILITY OF NETWORKED DISCRETE EVENT SYSTEMS AGAINST DOS AND DECEPTION ATTACKS,2022,Scopus-Science Direct-Web of Science,diagnosability,denial of service,diagnosability theory,finite-state automata
53,SECURE RECOVERY PROCEDURE FOR MANUFACTURING SYSTEMS USING SYNCHRONIZING AUTOMATA AND SUPERVISORY CONTROL THEORY,2022,Engineering Village-IEEExplore-Scopus-Web of Science,system recovery,sensor-actuator,Synchronizing Automata-sct,finite-state automata
54,SECURITY OF CYBER-PHYSICAL SYSTEMS: DESIGN OF A SECURITY SUPERVISOR TO THWART ATTACKS,2022,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor-actuator,sct,finite-state automata
55,SUPERVISORY CONTROL OF PETRI NETS IN THE PRESENCE OF REPLACEMENT ATTACKS,2022,IEEExplore-Scopus-Web of Science,supervisor synthesis,sensor,Generalized Mutual Exclusion Constraints,petri nets
56,SYNTHESIS OF OPTIMAL MULTIOBJECTIVE ATTACK STRATEGIES FOR CONTROLLED SYSTEMS MODELED BY PROBABILISTIC AUTOMATA,2022,Engineering Village-IEEExplore-Scopus-Web of Science,attack model,sensor,Markov decision process (MDP),probabilistic finite-state automata
57,SYNTHESIZING ATTACK-AWARE CONTROL AND ACTIVE SENSING STRATEGIES UNDER REACTIVE SENSOR ATTACKS,2022,IEEExplore,supervisor synthesis,sensor,Markov decision process (MDP),finite-state automata
58,SECRET INFERENCE AND ATTACKTABILITY ANALYSIS OF DISCRETE EVENT SYSTEMS,2022,Science Direct,attack model,sensor,-,petri nets
59,SYNTHESIS OF THE SUPREMAL COVERT ATTACKER AGAINST UNKNOWN SUPERVISORS BY USING OBSERVATIONS,2022,IEEExplore,attack model,sensor-actuator,sct,finite-state automata
60,SENSOR AND ACTUATOR ATTACK IDENTIFICATION IN DISCRETE EVENT SYSTEMS,2022,IEEExplore-Scopus,attack detection and mitigation,sensor-actuator,,finite-state automata
61,SECURITY ANALYSIS FOR DISTRIBUTED IOT-BASED INDUSTRIAL AUTOMATION,2022,IEEExplore,attack detection and mitigation,sensor-actuator,,petri nets
62,SYNTHESIS OF WINNING ATTACKS ON COMMUNICATION PROTOCOLS USING SUPERVISORY CONTROL THEORY: TWO CASE STUDIES,2022,Scopus-Web of Science,attack model,sensor-actuator,,finite-state automata
63,SELECTION OF A STEALTHY AND HARMFUL ATTACK FUNCTION IN DISCRETE EVENT SYSTEMS,2022,Scopus-Web of Science,state estimation,sensor,,finite-state automata
64,OBSERVER DESIGN FOR LABELED FINITE AUTOMATA WITH INPUTS UNDER STEALTHY ACTUATORS ATTACKS,2022,Science Direct-Web of Science,attack detection and mitigation,actuator,,finite-state automata
65,MALICIOUS ORIGIN OF DEADLOCKS IN FLEXIBLE MANUFACTURING SYSTEMS,2022,Science Direct-Web of Science,attack detection and mitigation,sensor,,petri nets
66,SENSOR AND ACTUATOR ATTACKS IN DISCRETE EVENT SYSTEMS,2022,Science Direct-Web of Science,attack model,sensor-actuator,,finite-state automata
67,TAMPER-TOLERANT DIAGNOSABILITY UNDER BOUNDED OR UNBOUNDED ATTACKS,2022,Science Direct-Web of Science,diagnosability,sensor,,finite-state automata
68,ATTACKABLE DETECTABILITY OF PARTIALLY-OBSERVED DISCRETE-EVENT SYSTEMS UNDER SENSOR ATTACK,2022,Science Direct-Web of Science,state estimation,sensor,,finite-state automata
69,ABOUT EXISTENCE OF RESILIENT SUPERVISORS AGAINST SMART SENSOR ATTACKS,2022,IEEExplore,supervisor synthesis,sensor,-,finite-state automata
70,A FRAMEWORK FOR THE ANALYSIS OF SUPERVISED DISCRETE EVENT SYSTEMS UNDER ATTACK,2022,Complementary,attack model,sensor-actuator,-,finite-state automata
71,SENSOR DECEPTION ATTACKS AGAINST INITIAL-STATE PRIVACY IN SUPERVISORY CONTROL SYSTEMS,2022,IEEExplore,attack model,sensor,,finite-state automata
72,ROBUST STEALTHY ATTACKS BASED ON UNCERTAIN COSTS AND LABELED FINITE AUTOMATA WITH INPUTS,2023,Engineering Village-IEEExplore-Scopus-Web of Science,attack detection and mitigation,sensor-actuator,assessment,finite-state automata
73,DETECTION AND LOCALIZATION OF STEALTHY CYBER ATTACKS IN CYBER-PHYSICAL DISCRETE EVENT SYSTEMS,2023,IEEExplore-Scopus,attack detection and mitigation,sensor-actuator,,finite-state automata
74,ERROR- AND TAMPER-TOLERANT STATE ESTIMATION FOR DISCRETE EVENT SYSTEMS UNDER COST CONSTRAINTS,2023,IEEExplore-Scopus,state estimation,sensor,-,finite-state automata
75,ATTACK-RESILIENT SUPERVISORY CONTROL OF DISCRETE-EVENT SYSTEMS: A FINITE-STATE TRANSDUCER APPROACH,2023,IEEExplore,supervisor synthesis,sensor-actuator,-,finite-state transducer
76,DETECTION OF ACTUATOR ENABLEMENT ATTACKS BY PETRI NETS IN SUPERVISORY CONTROL SYSTEMS,2023,Scopus-Web of Science,attack detection and mitigation,actuator,AE-safe controllabiility,petri nets
77,ROBUST PREDICTABILITY IN DISCRETE EVENT SYSTEMS UNDER SENSOR ATTACKS,2023,Scopus-Web of Science,prognosability,sensor,-,finite-state automata
78,ON DECIDABILITY OF EXISTENCE OF NONBLOCKING SUPERVISORS RESILIENT TO SMART SENSOR ATTACKS,2023,Scopus-Science Direct,supervisor synthesis,sensor,-,finite-state automata
79,LANGUAGE RECOVERY IN DISCRETE-EVENT SYSTEMS AGAINST SENSOR DECEPTION ATTACKS,2023,Scopus-Web of Science,attack detection and mitigation,sensor,-,finite-state transducer
80,SYNTHESIS OF OPTIMAL COVERT SENSOR-ACTUATOR ATTACKERS FOR DISCRETE-EVENT SYSTEMS,2023,Scopus-Science Direct,attack model,sensor-actuator,-,finite-state automata
81,DEALING WITH SENSOR AND ACTUATOR DECEPTION ATTACKS IN SUPERVISORY CONTROL,2023,Scopus-Science Direct,supervisor synthesis,sensor-actuator,-,finite-state automata
82,SECURITY OF CYBER-PHYSICAL SYSTEMS AGAINST ACTUATOR ATTACKS THROUGH CRYPTOGRAPHY,2023,Complementary,attack detection and mitigation,actuator,Event-based cryptography,finite-state automata
83,NOTIONS OF SECURITY AND OPACITY IN DISCRETE EVENT SYSTEMS,2007,Complementary,verification,passive,opacity verification,finite-state automata
84,OPACITY ENFORCING CONTROL SYNTHESIS,2008,IEEExplore-Scopus-Web of Science,enforcement,passive,opacity enforcement-sct,Labeled Transition System (LTS)
85,OPACITY-ENFORCING SUPERVISORY STRATEGIES FOR SECURE DISCRETE EVENT SYSTEMS,2008,IEEExplore-Scopus-Web of Science,enforcement,passive,initial state opacity enforcement,finite-state automata
86,VERIFICATION OF INITIAL-STATE OPACITY IN SECURITY APPLICATIONS OF DES,2008,IEEExplore-Scopus-Web of Science,verification,passive,initial state opacity verification,finite-state automata
87,MONITORING CONFIDENTIALITY BY DIAGNOSIS TECHNIQUES,2009,IEEExplore-Scopus,verification,passive,opacity verification-diagnosability-predictability,Labeled Transition System (LTS)
88,VERIFICATION OF INFINITE-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY,2009,Scopus,verification,passive,Verification of Infinite Step Opacity,finite-state automata
89,VERIFICATION OF K-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY,2009,IEEExplore-Scopus-Web of Science,verification,passive,k step opacity verification,finite-state automata
90,SUPERVISORY CONTROL FOR OPACITY,2010,Complementary,enforcement,passive,,Labeled Transition System (LTS)
91,OPACITY VERIFICATION IN STOCHASTIC DISCRETE EVENT SYSTEMS,2010,IEEExplore-Scopus-Web of Science,verification,passive,opacity verification-step based almost current-state opacity,probabilistic finite-state automata
92,REDUCED-COMPLEXITY VERIFICATION FOR INITIAL-STATE OPACITY IN MODULAR DISCRETE EVENT SYSTEMS,2010,Scopus-Science Direct,verification,passive,verification of initial state opacity,finite-state automata
93,OPACITY OF DISCRETE EVENT SYSTEMS AND ITS APPLICATIONS,2011,Complementary,verification,passive,strong opacity and weak opacity,finite-state automata
94,VERIFICATION OF $K$-STEP OPACITY AND ANALYSIS OF ITS COMPLEXITY (2011),2011,IEEExplore-Scopus-Web of Science,verification,passive,k step opacity verification,finite-state automata
95,OPACITY-ENFORCING SUPERVISORY STRATEGIES VIA STATE ESTIMATOR CONSTRUCTIONS,2012,Complementary,enforcement,passive,opacity enforcement,finite-state automata
96,ENFORCEMENT OF OPACITY PROPERTIES USING INSERTION FUNCTIONS,2012,IEEExplore-Scopus-Web of Science,enforcement,passive,"opacity enforcement, insertion function",finite-state automata
97,RESOLUTION OF INITIAL-STATE IN SECURITY APPLICATIONS OF DES,2012,IEEExplore-Scopus,verification,passive,initial state resolution-state estimation,finite-state automata
98,VERIFICATION OF INFINITE-STEP OPACITY AND COMPLEXITY CONSIDERATIONS,2012,IEEExplore-Scopus-Web of Science,verification,passive,infinite step opacity verification,finite-state automata
99,INITIAL STATE OPACITY IN STOCHASTIC DES,2013,IEEExplore-Scopus,verification,passive,opacity verification-step based almost initial state opacity,probabilistic finite-state automata
100,VERIFICATION OF INITIAL-STATE OPACITY IN SECURITY APPLICATIONS OF DISCRETE EVENT SYSTEMS,2013,Scopus-Science Direct-Web of Science,verification,passive,verification of initial state opacity,finite-state automata
101,AN ON-THE-FLY APPROACH FOR THE VERIFICATION OF OPACITY IN CRITICAL SYSTEMS,2014,Web of Science,verification,passive,opacity verification,Labeled Transition System (LTS)
102,CURRENT-STATE OPACITY FORMULATIONS IN PROBABILISTIC FINITE AUTOMATA,2014,IEEExplore-Scopus-Web of Science,verification,passive,opacity verification-probabilistic current state opacity,probabilistic finite-state automata
103,SYNTHESIS OF INSERTION FUNCTIONS FOR ENFORCEMENT OF OPACITY SECURITY PROPERTIES,2014,Scopus-Science Direct-Web of Science,enforcement,passive,opacity enforcement,finite-state automata
104, ENFORCEMENT AND VALIDATION (AT RUNTIME) OF VARIOUS NOTIONS OF OPACITY,2014,Complementary,enforcement,passive,,Labeled Transition System (LTS)
105,VERIFICATION OF CURRENT-STATE OPACITY USING PETRI NETS,2015,IEEExplore-Scopus-Web of Science,verification,passive,verification of current state opacity,petri nets
106,VERIFICATION OF INITIAL-STATE OPACITY IN PETRI NETS,2015,IEEExplore-Scopus-Web of Science,verification,passive,verification of initial state opacity,petri nets
107,ENFORCEMENT OF OPACITY SECURITY PROPERTIES FOR SHIP INFORMATION SYSTEM,2016,Web of Science,enforcement,passive,opacity enforcement,finite-state automata
108,ENFORCING OPACITY WITH ORWELLIAN OBSERVATION,2016,IEEExplore-Web of Science,enforcement,passive,opacity enforcement,Labeled Transition System (LTS)
109,ON TWO-WAY OBSERVER AND ITS APPLICATION TO THE VERIFICATION OF INFINITE-STEP AND K-STEP OPACITY,2016,IEEExplore-Scopus-Web of Science,verification,passive,Verification of Infinite Step and K Step Opacity,finite-state automata
110,PROBABILISTIC SYSTEM OPACITY IN DISCRETE EVENT SYSTEMS,2016,IEEExplore-Scopus-Web of Science,verification,passive,Probabilistic system opacity,Hidden Markov Model (HMM)
111,QUANTIFICATION OF DISTRIBUTED SECRECY LOSS IN STOCHASTIC DISCRETE EVENT SYSTEMS UNDER BOUNDED-DELAY COMMUNICATIONS,2016,IEEExplore-Scopus-Web of Science,verification,passive,Jensen-Shannon Divergence (JSD),probabilistic finite-state automata
112,SUPERVISORY ENFORCEMENT OF CURRENT-STATE OPACITY WITH UNCOMPARABLE OBSERVATIONS,2016,IEEExplore-Scopus-Web of Science,enforcement,passive,sct,finite-state automata
113,VERIFICATION OF LANGUAGE-BASED OPACITY IN PETRI NETS USING VERIFIER,2016,IEEExplore-Web of Science,verification,passive,Verification of Language Based Opacity,petri nets
114,A NEW APPROACH FOR THE VERIFICATION OF INFINITE-STEP AND K-STEP OPACITY USING TWO-WAY OBSERVERS,2017,Scopus-Science Direct-Web of Science,verification,passive,Verification of Infinite Step and K Step Opacity,finite-state automata
115,DECIDABILITY OF OPACITY VERIFICATION PROBLEMS IN LABELED PETRI NET SYSTEMS,2017,Scopus-Science Direct-Web of Science,verification,passive,verification of initial state – current state and language based opacity,petri nets
116,INFINITE-STEP OPACITY OF STOCHASTIC DISCRETE-EVENT SYSTEMS,2017,IEEExplore-Scopus-Web of Science,verification,passive,Verification of Infinite Step Opacity,probabilistic finite-state automata
117,QUANTIFICATION OF SECRECY IN PARTIALLY OBSERVED STOCHASTIC DISCRETE EVENT SYSTEMS,2017,IEEExplore-Scopus-Web of Science,verification,passive,Jensen-Shannon Divergence (JSD),probabilistic finite-state automata
118,VERIFICATION OF STATE-BASED OPACITY USING PETRI NETS,2017,IEEExplore-Scopus-Web of Science,verification,passive,Verification of state Based Opacity,petri nets
119,AN ALGEBRAIC CHARACTERIZATION OF LANGUAGE-BASED OPACITY IN LABELED PETRI NETS,2018,Scopus-Science Direct-Web of Science,verification,passive,Verification of Language Based Opacity,petri nets
120,CURRENT-STATE OPACITY ENFORCEMENT IN DISCRETE EVENT SYSTEMS UNDER INCOMPARABLE OBSERVATIONS,2018,Scopus-Web of Science,enforcement,passive,opacity enforcement,finite-state automata
121,DECENTRALIZED OPACITY ENFORCEMENT IN DISCRETE EVENT SYSTEMS USING SUPERVISORY CONTROL,2018,IEEExplore-Scopus-Web of Science,enforcement,passive,enforcement of current state opacity,finite-state automata
122,ENFORCEMENT OF OPACITY BY PUBLIC AND PRIVATE INSERTION FUNCTIONS,2018,Scopus-Science Direct-Web of Science,enforcement,passive,opacity enforcement,finite-state automata
123,ENFORCING CURRENT-STATE OPACITY THROUGH SHUFFLE IN EVENT OBSERVATIONS⁎,2018,Scopus,enforcement,passive,enforcement of current state opacity,finite-state automata
124,NON-INTERFERENCE ASSESSMENT IN BOUNDED PETRI NETS VIA INTEGER LINEAR PROGRAMMING,2018,IEEExplore,verification,passive,strong non-deterministic non-interference (SNNI) and bisimulation SNNI (BSNNI),petri nets
125,ON-LINE ALGORITHM FOR CURRENT STATE OPACITY ENFORCEMENT IN A PETRI NET FRAMEWORK,2018,Web of Science,enforcement,passive,opacity enforcement,petri nets
126,ON-LINE VERIFICATION OF CURRENT-STATE OPACITY BY PETRI NETS AND INTEGER LINEAR PROGRAMMING,2018,Scopus-Science Direct-Web of Science,verification,passive,verification of current state opacity,petri nets
127,PARAMETER AND INSERTION FUNCTION CO-SYNTHESIS FOR OPACITY ENHANCEMENT IN PARAMETRIC STOCHASTIC DISCRETE EVENT SYSTEMS,2018,Engineering Village-IEEExplore-Scopus-Web of Science,enforcement,passive,Current state opacity-parametric Markov Decision Process (PMDP),finite-state automata
128,PROBABILISTIC SYSTEM OPACITY IN DISCRETE EVENT SYSTEMS (2018),2018,Scopus-Web of Science,enforcement,passive,probabilistic system opacity,probabilistic finite-state automata
129,SYNTHESIS OF DYNAMIC MASKS FOR INFINITE-STEP OPACITY,2018,Scopus-Science Direct-Web of Science,enforcement,passive,infinite step opacity enforcement,finite-state automata
130,SYNTHESIS OF INSERTION FUNCTIONS TO ENFORCE DECENTRALIZED AND JOINT OPACITY PROPERTIES OF DISCRETE-EVENT SYSTEMS,2018,Engineering Village-IEEExplore-Scopus-Web of Science,enforcement,passive,opacity enforcement,finite-state automata
131,VERIFICATION OF OPACITY IN NETWORKED SUPERVISORY CONTROL SYSTEMS WITH INSECURE CONTROL CHANNELS,2018,IEEExplore-Scopus-Web of Science,verification,passive,verification of decision and event based opacity,finite-state automata
132,AN OPACITY APPROACH FOR SECURITY EXPOSURE OF IOT COMPONENTS IN CRITICAL INFRASTRUCTURES,2019,IEEExplore-Scopus-Web of Science,verification,passive,verification and enforcement of state based opacity,finite-state automata
133,CONTROLLER ENCRYPTION FOR DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,enforcement,passive,homomorphic encryption,signal interpreted Petri nets
134,CURRENT-STATE OPACITY VERIFICATION IN MODULAR DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,verification,passive,verification of current state opacity,finite-state automata
135,ENFORCING OPACITY BY INSERTION FUNCTIONS UNDER MULTIPLE ENERGY CONSTRAINTS,2019,Scopus-Science Direct-Web of Science,enforcement,passive,opacity enforcement,finite-state automata
136,EXPOSURE TIME AS A MEASURE OF OPACITY IN TIMED DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,verification,passive,verification of current state opacity,Stochastic Petri nets
137,INFINITE-STEP OPACITY AND K-STEP OPACITY OF STOCHASTIC DISCRETE-EVENT SYSTEMS,2019,Scopus-Science Direct-Web of Science,verification,passive,Verification of Infinite Step and K Step Opacity,probabilistic finite-state automata
138,ON-LINE VERIFICATION OF INITIAL-STATE OPACITY BY PETRI NETS AND INTEGER LINEAR PROGRAMMING,2019,Scopus-Science Direct-Web of Science,verification,passive,verification of initial state opacity,petri nets
139,OPACITY ENFORCEMENT USING NONDETERMINISTIC PUBLICLY KNOWN EDIT FUNCTIONS,2019,IEEExplore-Scopus-Web of Science,enforcement,passive,state based opacity enforcement,finite-state automata
140,OPACITY OF FUZZY DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,verification,passive,Verification of Fuzzy Language and state based Opacity,fuzzy automata
141,OPACITY OF NETWORKED DISCRETE EVENT SYSTEMS,2019,IEEExplore-Scopus-Web of Science,verification,passive,verification of current state – initial state - initial final state and K step opacity,finite-state automata
142,OPACITY OF NETWORKED SUPERVISORY CONTROL SYSTEMS OVER INSECURE MULTIPLE CHANNEL NETWORKS,2019,Engineering Village-IEEExplore-Scopus-Web of Science,verification,passive,opacity verification,finite-state automata
